#,NOMBRE,SEGUIDORES,TP,PAÍS,TEMA DE INFLUENCIA,ALCANCE POTENCIAL,GUARDAR,INVITAR A LA CAMPAÑA,channel_name,total_subscribers,total_views,total_videos
1.0,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,32.9M,-,Reino Unido,Música,9.9M,,Ver Perfil,NoCopyrightSounds,33900000,11579535053,1911
2.0,DanTDM @UCS5Oz6CHmeoF7vSad0qqXfw,26.3M,-,Reino Unido,,7.9M,,Ver Perfil,DanTDM,29200000,20086415914,3740
3.0,KSI @UCVtFOytbRpEvzLjvqGG5gxQ,24M,-,Reino Unido,,7.2M,,Ver Perfil,KSI,25000000,6202626634,1265
4.0,Mister Max @UC_8PAD0Qmi6_gpe77S1Atgg,23M,0.10%,Reino Unido,,6.9M,,Ver Perfil,Mister Max,24900000,16388589410,1182
5.0,Jelly @UC0DZmkupLYwc0yDsfocLh0A,22.9M,-,Reino Unido,,6.9M,,Ver Perfil,Jelly,23500000,15238781424,6670
6.0,Miss Katy @UCcartHVtvAUzfajflyeT_Gg,22.6M,-,Reino Unido,,6.8M,,Ver Perfil,Miss Katy,25300000,16139602637,1131
7.0,Dua Lipa @UC-J-KZfRV8c13fOCkhXdLiQ,21.1M,-,Reino Unido,,6.3M,,Ver Perfil,Dua Lipa,24000000,14141660405,308
8.0,Dan Rhodes @UC6D1L2vxEAg_Vi0JSxMBDgA,17.7M,0.30%,Reino Unido,,5.3M,,Ver Perfil,Dan Rhodes,27000000,19131648279,1678
9.0,Ali-A @UCYVinkwSX7szARULgYpvhLw,17.7M,-,Reino Unido,,5.3M,,Ver Perfil,Ali-A,19500000,6779016366,4567
10.0,Gaby and Alex @UCHwBjRoGO1V-H8QYXjSVHkQ,17M,-,Reino Unido,,5.1M,,Ver Perfil,Gaby and Alex,17200000,9024358036,369
11.0,Sidemen @sidemen,17M,2.80%,Reino Unido,,5.1M,,Ver Perfil,NoCopyrightSounds,33900000,11579535053,1911
12.0,Queen Official @UCiMhD4jzUqG-IgPzUmmytRQ,16.3M,-,Reino Unido,,4.9M,,Ver Perfil,DanTDM,29200000,20086415914,3740
13.0,Little Mix @UCIvqWqjC4aLvp7zI8hzARrA,16.1M,-,Reino Unido,,4.8M,,Ver Perfil,KSI,25000000,6202626634,1265
14.0,JJ Olatunji @UCGmnsW623G1r-Chmo5RB4Yw,15.9M,-,Reino Unido,,4.8M,,Ver Perfil,Mister Max,24900000,16388589410,1182
15.0,F2Freestylers - Ultimate Soccer Skills Channel @UCKvn9VBLAiLiYL4FFJHri6g,14M,0.20%,Reino Unido,Celebridad,4.2M,,Ver Perfil,Jelly,23500000,15238781424,6670
16.0,BBC News @UC16niRr50-MSBwiO3YDb3RA,13.3M,-,Reino Unido,,4M,,Ver Perfil,Miss Katy,25300000,16139602637,1131
17.0,BBC @UCCj956IF62FbT7Gouszaj9w,12.9M,-,Reino Unido,,3.9M,,Ver Perfil,Dua Lipa,24000000,14141660405,308
18.0,Awakening Music @UCBq5hp6DvwWam2XOXw6lYJA,12.4M,-,संयुक्त अधिराज्य,सङ्गीत,3.7M,,प्रोफ़ाइल देखें,Dan Rhodes,27000000,19131648279,1678
19.0,DisneyChannelUK @UCLeuoGy_hUDTBf5Hk0ynrpQ,12.3M,-,संयुक्त अधिराज्य,,3.7M,,प्रोफ़ाइल देखें,Ali-A,19500000,6779016366,4567
20.0,colinfurze @UCp68_FLety0O-n9QU6phsgw,11.9M,0.60%,संयुक्त अधिराज्य,,3.6M,,प्रोफ़ाइल देखें,Gaby and Alex,17200000,9024358036,369
21.0,Mrwhosetheboss @UCMiJRAwDNSNzuYeN2uWa0pA,11.8M,1.90%,संयुक्त अधिराज्य,,3.5M,,प्रोफ़ाइल देखें,Queen Official,18100000,12011782351,1302
22.0,TommyInnit @UC5p_l5ZeB_wGjO_yDXwiqvw,11.7M,-,संयुक्त अधिराज्य,,3.5M,,प्रोफ़ाइल देखें,Little Mix,16400000,8158285138,278
23.0,Morgz @UCBwSufNse8VMBvQM_rCSvgQ,11.6M,0.10%,संयुक्त अधिराज्य,,3.5M,,प्रोफ़ाइल देखें,JJ Olatunji,16400000,4441586761,1408
24.0,Tiana @UC6sSkkemzPjmrzS0Y0V_2zw,11.4M,-,संयुक्त अधिराज्य,,3.4M,,प्रोफ़ाइल देखें,F2Freestylers - Ultimate Soccer Skills Channel,14000000,3376964704,783
25.0,DisneyJuniorUK @UC7Gf2tZ8coTX2ckTPgn62iQ,11.2M,-,संयुक्त अधिराज्य,,3.4M,,प्रोफ़ाइल देखें,BBC News,17400000,5843996243,24380
26.0,Emily Tube @UC-0D1RlSzcvBoODCKSoLl2g,11M,-,संयुक्त अधिराज्य,,3.3M,,प्रोफ़ाइल देखें,BBC,14600000,10932772071,21962
27.0,Slogo @UCHdMK5Ef2El8KbD3L_WgANg,10.9M,-,संयुक्त अधिराज्य,,3.3M,,प्रोफ़ाइल देखें,Awakening Music,14400000,6165470912,989
28.0,Jessie J @UC4pEp0mo54WhEBCTYvjVDJA,10.4M,-,संयुक्त अधिराज्य,,3.1M,,प्रोफ़ाइल देखें,DisneyChannelUK,13400000,13963081672,4597
29.0,Sing King @UCwTRjvjVge51X-ILJ4i22ew,10.2M,-,संयुक्त अधिराज्य,,3.1M,,प्रोफ़ाइल देखें,colinfurze,13100000,1828531296,420
30.0,BBC News عربي @UCelk6aHijZq-GJBBB9YpReA,10.1M,-,संयुक्त अधिराज्य,,3M,,प्रोफ़ाइल देखें,Mrwhosetheboss,20500000,6601669095,1772
31.0,Classic Mr Bean @UCEwIUtFBhaI2L2PuKv0KL2g,9.9M,-,संयुक्त अधिराज्य,,3M,,प्रोफ़ाइल देखें,TommyInnit,15100000,2532752476,505
32.0,Syndicate @UC1ieoHqKW-yYgDhLHIcx28w,9.7M,-,संयुक्त अधिराज्य,,2.9M,,प्रोफ़ाइल देखें,Morgz,12700000,3575855134,854
33.0,Gorillaz @UCfIXdjDQH9Fau7y99_Orpjw,9.4M,0.10%,संयुक्त अधिराज्य,,2.8M,,प्रोफ़ाइल देखें,Tiana,11400000,3257674090,1055
34.0,Woody & Kleiny @UCoGForHQAmk0_9rI9CABeYw,9.4M,1.10%,संयुक्त अधिराज्य,,2.8M,,प्रोफ़ाइल देखें,Disney Kids,13100000,13263602610,3459
35.0,Jungle Beat @UChUHOEe7zgYmrv7a_LlpNng,9.3M,-,संयुक्त अधिराज्य,यात्रा,2.8M,,प्रोफ़ाइल देखें,Emily Tube,11100000,3780773779,718
36.0,Julius Dein @juliusdein,9.2M,-,संयुक्त अधिराज्य,,2.8M,,प्रोफ़ाइल देखें,Slogo,11800000,9231576148,6673
37.0,The X Factor UK @UCEY1ejsweY4DgMwOVJeEaBA,9.1M,0.10%,संयुक्त अधिराज्य,,2.7M,,प्रोफ़ाइल देखें,Jessie J,10700000,6032804689,96
38.0,English with Lucy @UCz4tgANd4yy8Oe0iXCdSWfA,9M,-,संयुक्त अधिराज्य,,2.7M,,प्रोफ़ाइल देखें,Sing King,13000000,9173334966,4746
39.0,Shaun the Sheep @UCS7H8U-n5mINVJjJsaRtGHg,8.9M,-,संयुक्त अधिराज्य,,2.7M,,प्रोफ़ाइल देखें,BBC News عربي,12200000,5236290655,43175
40.0,Cartoons for Kids @UC977n5nXRn8MDuGQjwxkOLw,8.7M,-,संयुक्त अधिराज्य,,2.6M,,प्रोफ़ाइल देखें,Classic Mr Bean,10700000,3500658832,2024
41.0,Mumbo Jumbo @UChFur_NwVSbUozOcF_F2kMg,8.5M,1.70%,संयुक्त अधिराज्य,भिडियो गेमिङ,2.6M,,प्रोफ़ाइल देखें,Syndicate,9590000,2138865603,3539
42.0,Top Gear @UCjOl2AUblVmg2rA_cRgZkFg,8.4M,-,संयुक्त अधिराज्य,,2.5M,,प्रोफ़ाइल देखें,Gorillaz,11400000,6425322073,364
43.0,Moonbug Kids - Kids Learning Videos @UC1QqdFv5e9QSEi0eYdfwuqw,8.3M,-,संयुक्त अधिराज्य,,2.5M,,प्रोफ़ाइल देखें,Woody & Kleiny,15800000,15071938996,1306
44.0,BBC Radio 1 @UC-FQUIVQ-bZiefzBiQAa8Fw,8.1M,-,संयुक्त अधिराज्य,,2.4M,,प्रोफ़ाइल देखें,Jungle Beat,12400000,6342201515,1005
45.0,Liverpool FC @liverpoolfc,8M,-,संयुक्त अधिराज्य,,2.4M,,प्रोफ़ाइल देखें,The X Factor UK,9230000,7078919518,5620
46.0,Grian @UCR9Gcq0CMm6YgTzsDxAxjOQ,7.8M,1.80%,संयुक्त अधिराज्य,,2.3M,,प्रोफ़ाइल देखें,English with Lucy,11900000,540338162,394
47.0,Daz Games @UCDBCCMlFD-hArPbWv38FINA,7.6M,0.30%,संयुक्त अधिराज्य,,2.3M,,प्रोफ़ाइल देखें,Shaun the Sheep Official,12700000,6986018620,1093
48.0,Vikkstar123 @UCvwgF_0NOZe2vN4Q3g1bY-A,7.6M,-,संयुक्त अधिराज्य,,2.3M,,प्रोफ़ाइल देखें,Cartoons for Kids,9090000,3496140921,2738
49.0,PlayToys @UCHFA6Nt11kE_8OWIya0SQDQ,7.6M,-,संयुक्त अधिराज्य,,2.3M,,प्रोफ़ाइल देखें,Mumbo Jumbo,9510000,3196428975,2128
50.0,carwow @UCUhFaUpnq31m6TNX2VKVSVA,7.5M,0.20%,संयुक्त अधिराज्य,,2.2M,,प्रोफ़ाइल देखें,Top Gear,9220000,4132369102,1984
51.0,Jeremy Lynch @UC5Y1pPVNm-odhiubuRO1D6A,7.4M,-,संयुक्त अधिराज्य,,2.2M,,प्रोफ़ाइल देखें,Moonbug Kids - Kids Learning Videos,13500000,9576797814,1841
52.0,TomSka @UCOYWgypDktXdb-HfZnSMK6A,7.2M,2.20%,संयुक्त अधिराज्य,,2.2M,,प्रोफ़ाइल देखें,BBC Radio 1,8360000,3853383830,4025
53.0,YOGSCAST Lewis & Simon @UCH-_hzb2ILSCo9ftVSnrCIQ,7.1M,-,संयुक्त अधिराज्य,समाचारहरू,2.1M,,प्रोफ़ाइल देखें,Grian,8680000,2581725085,783
54.0,LDShadowLady @UCzTlXb7ivVzuFlugVCv3Kvg,7M,-,संयुक्त अधिराज्य,भिडियो गेमिङ,2.1M,,प्रोफ़ाइल देखें,Daz Games,8990000,2926040410,1629
55.0,The Beatles @UCc4K7bAqpdBP8jh1j9XZAww,6.9M,0.10%,संयुक्त अधिराज्य,,2.1M,,प्रोफ़ाइल देखें,Vikkstar123,7590000,2180343983,5079
56.0,Passenger @UCFHtCB_FWXQ8GpjgfYcD8-g,6.9M,-,संयुक्त अधिराज्य,,2.1M,,प्रोफ़ाइल देखें,PlayToys,7940000,3107958809,965
57.0,MessYourself @UCrSgaO6xOY8YV1EoCbD51HA,6.9M,-,संयुक्त अधिराज्य,,2.1M,,प्रोफ़ाइल देखें,carwow,9970000,4484253252,2986
58.0,MoreSidemen @UCh5mLn90vUaB1PbRRx_AiaA,6.8M,0.60%,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,Jeremy Lynch,12800000,7018399542,905
59.0,Boomerang UK @UCmst562fALOY2cKb4IFgqEg,6.8M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,TomSka,7380000,2123406797,180
60.0,James Arthur @UCV5Gw7GGOMxe6SSF6llp_3Q,6.8M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,The Yogscast,7060000,4622811296,6940
61.0,ARPO The Robot @UCrSx8rek9EuC3YGHvG8aalw,6.7M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,LDShadowLady,7300000,3526788357,1090
62.0,24 News HD @UCcmpeVbSSQlZRvHfdC-CRwg,6.7M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,The Beatles,8740000,7696188502,344
63.0,RubyandBonnie @UC_wITz-Ze4JFc3WLQA1n3Hw,6.6M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,Passenger,7590000,4803440649,394
64.0,Nickelodeon UK @UCHiceVclOIFCgAcveITRLLw,6.6M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,MessYourself,6870000,2584982295,1067
65.0,Mark Ronson @UCSY5V7BJSrxNvvBF0Drslow,6.5M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,MoreSidemen,9100000,5036899230,1225
66.0,Rhia Official @UCQdsJ95w9jh-yB0BA6EDGWA,6.4M,-,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,Boomerang UK,7830000,3929754099,2629
67.0,UKF Dubstep @UCfLFTP1uTuIizynWsZq2nkQ,6.3M,-,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,James Arthur,7580000,4780592788,250
68.0,TGFbro @UCOgUcv_9DaivXzsN9mcHIzQ,6.2M,0.90%,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,ARPO The Robot,7790000,3355419177,1552
69.0,Wilbur Soot @UC1n_PfsVqxllCcnMPlxBIjw,6.2M,2.60%,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,24 News HD,8520000,3805790589,185961
70.0,Russell Brand @UCswH8ovgUp5Bdg-0_JTYFNw,6.2M,-,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,RubyandBonnie,9560000,5846575546,701
71.0,Manchester United @UC6yW44UGJJBvYTlfC7CRg2Q,6.2M,0.20%,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,Nickelodeon UK,7350000,7815530484,3441
72.0,Pingu - Official Channel @UCM88mtSE0zRTn5ae4EbYcuw,6.2M,-,संयुक्त अधिराज्य,,1.8M,,प्रोफ़ाइल देखें,Mark Ronson,7020000,6927369414,20
73.0,Mrwhosetheboss Shorts @UCZSlfzadjnw7G419c_OJ9eg,6.1M,-,संयुक्त अधिराज्य,,1.8M,,प्रोफ़ाइल देखें,Rhia Official,14500000,6866784919,1046
74.0,Niko Omilana @UCdcUmdOxMrhRjKMw-BX19AA,6M,16.20%,संयुक्त अधिराज्य,,1.8M,,प्रोफ़ाइल देखें,UKF Dubstep,6230000,2146869190,1846
75.0,Tiana Wilson @UC7_yh9PEDpaqp34QtGO-_Yw,5.9M,-,संयुक्त अधिराज्य,,1.8M,,प्रोफ़ाइल देखें,TGFbro,6150000,1478921923,472
76.0,Capital FM @UCZzwjZPc6R_PbnDgFVMwlvQ,5.8M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Wilbur Soot,5580000,801125159,139
77.0,Simon's Cat @UCH6vXjt-BA7QHl0KnfL-7RQ,5.8M,0.30%,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Russell Brand,6850000,1507304258,3617
78.0,CGP Grey @UC2C_jShtL725hvbm1arSV9w,5.8M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Manchester United,9810000,2599972297,4656
79.0,Jamie Oliver @UCpSgg_ECBj25s9moCDfSTsA,5.8M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Pingu - Official Channel,7200000,2947867256,724
80.0,ChrisMD @sirhcchris2010,5.6M,2.20%,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Mrwhosetheboss Plus,7120000,3840061185,186
81.0,Dumori Bay @UC-VDfQNL-S44eZscGlXI14g,5.6M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Niko Omilana,7700000,649848750,142
82.0,Space Videos @UCakgsb0w7QB0VHdnCc-OVEA,5.5M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,The Wilsons,5840000,1649903242,414
83.0,Real Stories @UCu4XcDBdnZkV6-5z2f16M0g,5.5M,-,संयुक्त अधिराज्य,प्रसिद्धि,1.7M,,प्रोफ़ाइल देखें,Capital FM,6290000,3760657119,2839
84.0,More Emily @UCO66lK14MYiXlu0A6pQ4ouA,5.4M,-,संयुक्त अधिराज्य,,1.6M,,प्रोफ़ाइल देखें,Simon's Cat,6360000,1646682355,575
85.0,GRM Daily @UCqTwKvjbTENZDGbz2si47ag,5.3M,-,संयुक्त अधिराज्य,,1.6M,,प्रोफ़ाइल देखें,CGP Grey,6630000,1112032738,192
86.0,Joe Weller @UCLk9wddjT0F-HILLRFXodtg,5.3M,1.90%,संयुक्त अधिराज्य,,1.6M,,प्रोफ़ाइल देखें,Jamie Oliver,6000000,999392562,2246
87.0,WildBrain Kids @UCbmWOFTbZoDLWqG1rvFnJ0g,5.2M,-,संयुक्त अधिराज्य,प्रसिद्धि,1.6M,,प्रोफ़ाइल देखें,Dumori Bay,5280000,1139816,225
88.0,Sky News @UCoMdktPbSTixAyNGwb-UYkQ,5.2M,-,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,Space Videos,5580000,30338956,141
89.0,Jarvis @UCvxfEIG3PHpgM0TMJJ_SH-w,5M,0.80%,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,Real Stories,6460000,1104432379,1113
90.0,Thoughty2 @UCRlICXvO4XR4HMeEB9JjDlA,5M,-,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,More Emily,5250000,1473397811,610
91.0,TheDadLab @thedadlab,5M,-,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,GRM Daily,6520000,7847537853,15236
92.0,Behzinga @UCHhfSXoDG6gSgpOvLH4wrRw,4.9M,-,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,Joe Weller,5300000,1026075905,330
93.0,BBC Learning English @UCHaHD477h-FeBbVh9Sh7syA,4.8M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,WildBrain Kids,10200000,4984975828,5603
94.0,Max and Katy @UCvZwcK22QTUaM18KE7mHeNw,4.8M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Sky News,8280000,4866388614,57631
95.0,Man City @UCkzCjdRMrW2vXLx8mvPVLdQ,4.8M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Jarvis,5660000,1745281847,825
96.0,Wisp @UC0h07r_UgTD0Tc-Dn5XLX3g,4.7M,1.10%,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Thoughty2,5590000,1099307450,858
97.0,WillNE @UCaFUrR3oSxOl5Y9y6tvLTEg,4.7M,2.40%,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Behzinga,4940000,582821521,872
98.0,Zerkaa @UChntGq8THlUokhc1tT-M2wA,4.7M,2.30%,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,BBC Learning English,7590000,384702279,3851
99.0,Ben Phillips @UChoQQRDf-zU1h6_YjKkWvdw,4.6M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Max and Katy,4680000,1317964639,510
100.0,Roxxsaurus @UCBKFH7bU2ebvO68FtuGjyyw,4.5M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Man City,8120000,2263537015,9001
,,,,,,,,,Wisp,5440000,1179789201,569
,,,,,,,,,WillNE,5120000,881104247,310
,,,,,,,,,Zerkaa,4700000,874219289,2029
,,,,,,,,,Ben Phillips,4520000,1287216255,877
,,,,,,,,,Roxxsaurus,4560000,551688270,1014
